spkr,alter,hate,work,love,sex,drink,food,negemo,swear,sympathy,negate,hedge,meta,ntri,like,imean,youknow,you,appr,agree,restart,interrupt,mimiccontentraw,mimicfunc,mimicswbdnorm,mimicswbdcontnorm,laughmimic,rate,ratecorrelation,initlaugh,midlaugh,totalwords,i,uh,um,question,totalturns
102,122,0,7,0,0,0,0,1,0,0,3,3,0,0,1,0,1,2,1,0,1,0,21,11,0.003628,0.000686,0,2.834125,0.192285,0,1,392,16,0,0,12,34
122,102,0,8,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,1,25,20,0.000597,0.000375,0,2.206558,0.057677,0,1,234,12,0,0,6,34
102,132,0,19,0,0,0,0,2,0,0,8,2,0,1,7,3,1,8,1,0,33,0,37,22,0.023733,0.026074,0,2.403685,-0.065148,6,1,746,59,18,5,20,70
132,102,0,4,0,0,0,0,2,0,0,6,0,0,0,2,0,3,2,0,0,7,2,29,22,0.010163,0.029035,0,1.715925,-0.016019,1,4,292,20,0,1,6,69
102,134,0,14,0,0,0,0,0,0,1,4,8,0,0,3,1,1,10,1,0,18,1,19,14,0.011157,0.009593,0,3.263905,0.006904,1,0,510,11,16,3,2,28
134,102,0,0,1,0,0,0,1,0,0,0,0,0,0,3,1,0,4,1,0,0,3,12,10,0.000107,0.000040,0,2.241012,0.492782,0,0,119,11,0,2,3,28
104,122,1,1,0,0,0,4,4,0,0,5,4,1,0,9,0,0,1,1,0,0,1,32,22,0.008670,0.003134,0,2.326576,0.281874,0,0,287,17,0,0,8,31
122,104,0,6,0,0,0,3,0,0,0,4,0,1,0,2,1,4,1,0,0,0,0,31,28,0.000556,0.000295,0,2.494673,-0.179349,0,0,245,7,0,0,10,31
104,132,0,1,0,0,0,0,4,0,0,19,9,0,0,10,0,1,2,0,0,22,1,25,17,0.002348,0.000685,0,4.128670,-0.121776,1,0,495,34,0,1,10,60
132,104,0,1,0,0,0,0,0,0,0,7,1,0,0,2,0,0,3,0,0,4,1,36,30,0.013960,0.000000,1,2.712766,0.016883,4,1,176,5,0,0,12,60
