selfid,otherid,Order,Audio,met,willng,timemtch,s_fndly,s_flirt,s_awk,s_assert,o_fndly,o_flirt,o_awk,o_assert,o_attrct,o_sincre,o_intell,o_funny,o_ambits,o_crteos,enjoy,shared,clicked
101,121,1,0,1,1,5,10,6,2,1,10,5,1,1,7,10,10,7,5,10,7,6,7
101,122,2,0,1,1,5,10,5,7,1,10,5,8,1,10,10,10,.,.,.,7,5,6
101,123,3,0,1,0,4,10,4,1,1,10,4,1,1,7,10,10,6,1,10,6,1,5
101,124,4,0,1,1,2,10,7,1,1,10,6,1,1,10,10,10,9,1,1,9,7,8
101,125,5,0,1,1,5,10,8,1,1,10,7,1,1,9,9,9,9,1,10,9,6,7
101,126,6,0,1,0,2,10,4,1,1,10,6,1,1,6,10,10,9,1,10,4,3,3
101,127,7,0,1,1,5,10,8,3,1,10,7,4,1,8,10,10,10,1,10,7,8,7
101,128,8,0,1,0,2,10,4,7,1,10,5,6,1,7,10,10,10,1,10,6,7,4
101,129,9,0,1,0,4,10,5,7,1,.,.,.,.,.,.,.,.,.,.,5,5,5
101,130,10,0,1,0,2,10,4,7,1,10,3,8,1,6,9,10,10,1,10,4,3,3
101,131,11,0,1,1,3,10,7,2,1,10,7,2,1,8,10,10,10,1,10,7,6,6
101,132,12,0,1,0,3,10,4,9,1,10,4,10,8,8,8,10,10,.,.,4,3,1
101,133,13,0,1,0,2,10,3,5,1,10,2,7,1,7,10,10,10,1,1,5,4,4
101,134,14,0,1,0,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,1,4
101,135,15,0,1,0,1,10,5,1,1,10,5,1,1,5,10,10,10,1,10,4,1,1
101,136,16,0,1,1,1,10,8,1,1,10,7,1,1,10,10,10,.,.,.,10,8,8
101,137,17,0,1,1,4,10,8,1,1,10,6,1,1,8,10,10,10,1,10,8,5,7
101,138,18,0,1,0,2,10,2,1,1,10,1,1,1,6,10,10,10,1,1,4,1,1
101,139,19,0,1,0,4,10,5,1,1,10,5,1,1,7,10,10,10,1,10,6,1,1
102,121,19,1,3,1,1,10,5,1,5,10,5,1,.,7,7,7,10,7,7,10,10,10
102,122,1,1,1,0,2,10,4,4,7,10,5,.,8,5,7,8,7,7,6,3,3,3
102,123,2,1,1,1,3,10,5,3,5,8,3,3,6,.,.,.,.,.,.,.,.,.
102,124,3,1,.,1,5,10,5,3,5,10,.,.,.,.,.,.,.,.,.,.,.,.
102,125,4,1,2,0,1,10,3,3,5,.,.,.,.,.,.,.,.,.,.,.,.,.
102,126,5,1,1,0,1,10,1,3,5,10,10,.,.,.,.,.,.,.,.,.,.,.
102,127,6,1,1,0,1,10,1,3,6,10,6,3,6,5,.,.,.,.,.,.,.,.
102,128,7,1,2,0,5,10,3,3,6,.,.,.,.,.,.,.,.,.,.,.,.,.
102,129,8,1,2,1,4,10,7,5,7,10,5,2,4,8,6,7,8,7,7,7,6,6
102,130,9,1,2,0,1,10,1,3,8,.,.,.,.,.,.,.,.,.,.,.,.,.
102,131,10,1,1,1,4,10,5,3,7,8,5,1,7,7,8,7,5,7,7,7,5,7
102,132,11,1,1,0,5,10,6,3,6,10,10,1,8,8,6,7,9,7,7,8,5,5
102,133,12,1,1,0,2,10,1,3,8,10,5,4,5,5,5,8,8,8,8,5,9,3
102,134,13,1,1,0,2,10,1,1,6,10,6,3,8,5,.,.,.,.,.,.,.,.
102,135,14,1,3,0,1,10,1,1,6,10,1,1,6,3,8,8,8,8,8,8,8,5
102,136,15,1,1,1,3,10,5,1,7,10,6,1,8,7,7,7,5,6,7,8,7,7
102,137,16,1,2,0,2,10,1,4,7,10,7,1,7,5,7,5,6,5,8,6,6,4
102,138,17,1,1,0,2,10,4,1,6,7,5,3,5,5,9,8,5,7,7,5,3,1
102,139,18,1,1,1,6,10,6,3,6,10,3,5,3,7,9,8,5,5,9,7,5,6
103,121,18,0,2,0,1,10,1,3,5,10,3,1,6,2,8,8,8,5,8,4,3,3
103,122,19,0,1,0,2,10,2,2,8,9,2,5,8,3,8,8,6,8,9,5,5,4
103,123,1,0,1,0,3,9,3,2,7,9,3,7,3,6,8,9,6,9,9,8,4,3
103,124,2,0,1,1,5,10,5,3,8,10,2,6,6,8,9,7,3,5,9,8,6,6
103,125,3,0,1,0,1,10,2,3,9,10,3,9,3,3,9,7,3,3,9,5,5,2
103,126,4,0,1,0,1,10,1,3,8,10,2,6,6,2,8,9,7,8,9,5,4,2
103,127,5,0,1,0,1,10,1,7,9,9,1,9,5,1,8,9,3,8,9,1,3,1
