"SVM_RBF";"SVM_Linear";"AdaBoost";"LibliearR_with_L1"
"s_fndly";0.607450980392157;0.549803921568627;0.600392156862745;0.564705882352941
"s_flirt";0.657;0.5905;0.64;0.589
"s_awk";0.615384615384615;0.581538461538462;0.6;0.567692307692308
"s_assert";0.619607843137255;0.60156862745098;0.649019607843137;0.619607843137255
"o_fndly";0.635121951219512;0.574634146341463;0.650243902439024;0.614634146341463
"o_flirt";0.722162162162162;0.635135135135135;0.691891891891892;0.705945945945946
"o_awk";0.706818181818182;0.632272727272727;0.666818181818182;0.635454545454545
"o_assert";0.667391304347826;0.567826086956522;0.663478260869565;0.649130434782609
"o_attrct";0.541538461538462;0.55;0.54;0.495769230769231
"o_sincre";0.710181818181818;0.645818181818182;0.700727272727273;0.701090909090909
"o_intell";0.621304347826087;0.58;0.626086956521739;0.606521739130435
"o_funny";0.629056603773585;0.570943396226415;0.64377358490566;0.574716981132075
"o_ambits";0.617297297297297;0.579459459459459;0.643783783783784;0.529189189189189
"o_crteos";0.847605633802817;1;1;1
