"SVM_RBF";"SVM_Linear";"AdaBoost";"LibliearR_with_L1"
"s_fndly";0.595294117647059;0.568627450980392;0.60156862745098;0
"s_flirt";0.65;0.592;0.661;0
"s_awk";0.62974358974359;0.582564102564103;0.619487179487179;0
"s_assert";0.61843137254902;0.616470588235294;0.645490196078431;0
"o_fndly";0.643414634146341;0.581463414634146;0.66390243902439;0
"o_flirt";0.73027027027027;0.632972972972973;0.703243243243243;0
"o_awk";0.7;0.639090909090909;0.661363636363636;0
"o_assert";0.671304347826087;0.594347826086957;0.677391304347826;0
"o_attrct";0.545769230769231;0.571538461538462;0.545769230769231;0
"o_sincre";0.708727272727273;0.646181818181818;0.703272727272727;0
"o_intell";0.630869565217391;0.584347826086957;0.621739130434783;0
"o_funny";0.618867924528302;0.597735849056604;0.648679245283019;0
"o_ambits";0.607027027027027;0.578918918918919;0.631891891891892;0
"o_crteos";0;0;0;0
