"SVM_RBF";"SVM_Linear";"AdaBoost";"LibliearR_with_L1"
"s_fndly";0.659402985074627;0.601194029850746;0.633731343283582;0.648059701492537
"s_flirt";0.655438596491228;0.623508771929825;0.639649122807018;0.64
"s_awk";0.672692307692308;0.681538461538462;0.645769230769231;0.645769230769231
"s_assert";0.659047619047619;0.60952380952381;0.579047619047619;0.638571428571429
"o_fndly";0.658709677419355;0.572903225806452;0.611935483870968;0.572258064516129
"o_flirt";0.632666666666667;0.592;0.585333333333333;0.568
"o_awk";0.667547169811321;0.641132075471698;0.649433962264151;0.625660377358491
"o_assert";0.745238095238095;0.696190476190476;0.652857142857143;0.644761904761905
"o_attrct";0.695833333333333;0.63625;0.719583333333333;0.62125
"o_sincre";0.649259259259259;0.593333333333333;0.59;0.580740740740741
"o_intell";0.635789473684211;0.591578947368421;0.604210526315789;0.611228070175439
"o_funny";0.738235294117647;0.695294117647059;0.674705882352941;0.647647058823529
"o_ambits";0.5745;0.547;0.618;0.6505
"o_crteos";0.71304347826087;0.656086956521739;0.708260869565217;0.673478260869565
