"SVM_RBF";"SVM_Linear";"AdaBoost";"LibliearR_with_L1"
"s_fndly";0.538032786885246;0.526229508196721;0.52655737704918;0
"s_flirt";0.611304347826087;0.582608695652174;0.62;0
"s_awk";0.641777777777778;0.574222222222222;0.62;0
"s_assert";0.605666666666667;0.533666666666667;0.641333333333333;0
"o_fndly";0.608979591836735;0.644081632653061;0.599591836734694;0
"o_flirt";0.579545454545455;0.535;0.574090909090909;0
"o_awk";0.555294117647059;0.570588235294118;0.552156862745098;0
"o_assert";0.659245283018868;0.573207547169811;0.647547169811321;0
"o_attrct";0.570793650793651;0.535873015873016;0.578412698412698;0
"o_sincre";0.683692307692308;0.589846153846154;0.687692307692308;0
"o_intell";0.741739130434783;0.619130434782609;0.673913043478261;0
"o_funny";0.605573770491803;0.548524590163934;0.640327868852459;0
"o_ambits";0.588372093023256;0.505116279069767;0.575813953488372;0
"o_crteos";0;0;0;0
