"SVM_RBF";"SVM_Linear";"AdaBoost";"LibliearR_with_L1"
"s_fndly";0.62655737704918;0.537049180327869;0.602622950819672;0
"s_flirt";0.63304347826087;0.603913043478261;0.621304347826087;0
"s_awk";0.568444444444444;0.571111111111111;0.579111111111111;0
"s_assert";0.641333333333333;0.563666666666667;0.642666666666667;0
"o_fndly";0.617959183673469;0.551020408163265;0.634285714285714;0
"o_flirt";0.734545454545455;0.652727272727273;0.715909090909091;0
"o_awk";0.649019607843137;0.596078431372549;0.624313725490196;0
"o_assert";0.667547169811321;0.556981132075472;0.615849056603774;0
"o_attrct";0.522539682539683;0.517142857142857;0.511746031746032;0
"o_sincre";0.684;0.592307692307692;0.669230769230769;0
"o_intell";0.74;0.653913043478261;0.712173913043478;0
"o_funny";0.617704918032787;0.560983606557377;0.604918032786885;0
"o_ambits";0.578139534883721;0.544186046511628;0.59906976744186;0
"o_crteos";0;0;0;0
