"SVM_RBF";"SVM_Linear";"AdaBoost";"LibliearR_with_L1"
"s_fndly";0.52078431372549;0.516470588235294;0.546274509803922;0
"s_flirt";0.6295;0.597;0.6245;0
"s_awk";0.55025641025641;0.536410256410256;0.497948717948718;0
"s_assert";0.650196078431373;0.588627450980392;0.646666666666667;0
"o_fndly";0.583414634146342;0.548780487804878;0.579024390243903;0
"o_flirt";0.592432432432432;0.515675675675676;0.56;0
"o_awk";0.650454545454546;0.575;0.583636363636364;0
"o_assert";0.659565217391304;0.561304347826087;0.641304347826087;0
"o_attrct";0.565769230769231;0.530769230769231;0.529615384615385;0
"o_sincre";0.705090909090909;0.570181818181818;0.683272727272727;0
"o_intell";0.595652173913043;0.57;0.549130434782609;0
"o_funny";0.560754716981132;0.527924528301887;0.55811320754717;0
"o_ambits";0.534054054054054;0.517297297297297;0.501621621621622;0
"o_crteos";0;0;0;0
