"dat$maleBool";"s_fndly";"s_flirt";"s_awk";"s_assert";"o_fndly";"o_flirt";"o_awk";"o_assert";"o_attrct";"o_sincre";"o_intell";"o_funny";"o_ambits";"o_crteos";"sortOf";"kindOf";"iGuess";"iThink";"aLittle";"maybe";"possibly";"probably";"speeddate";"flirt";"event";"dating";"rating";"work";"program";"phd";"research";"professor";"advisor";"finish";"like";"iMean";"youKnow";"uh";"um";"syll_word";"syll_turn";"hedge";"academics";"funct";"pronoun";"ppron";"i";"we";"you";"shehe";"they";"ipron";"article";"verb";"auxverb";"past";"present";"future";"adverb";"preps";"conj";"negate";"quant";"number";"swear";"social";"family";"friend";"humans";"affect";"posemo";"negemo";"anx";"anger";"sad";"cogmech";"insight";"cause";"discrep";"tentat";"certain";"inhib";"incl";"excl";"percept";"see";"hear";"feel";"bio";"body";"health";"sexual";"ingest";"relativ";"motion";"space";"time";"work.1";"achieve";"leisure";"home";"money";"relig";"death";"assent";"nonfl";"filler";"Other.funct";"Other.pronoun";"Other.ppron";"Other.i";"Other.we";"Other.you";"Other.shehe";"Other.they";"Other.ipron";"Other.article";"Other.verb";"Other.auxverb";"Other.past";"Other.present";"Other.future";"Other.adverb";"Other.preps";"Other.conj";"Other.negate";"Other.quant";"Other.number";"Other.swear";"Other.social";"Other.family";"Other.friend";"Other.humans";"Other.affect";"Other.posemo";"Other.negemo";"Other.anx";"Other.anger";"Other.sad";"Other.cogmech";"Other.insight";"Other.cause";"Other.discrep";"Other.tentat";"Other.certain";"Other.inhib";"Other.incl";"Other.excl";"Other.percept";"Other.see";"Other.hear";"Other.feel";"Other.bio";"Other.body";"Other.health";"Other.sexual";"Other.ingest";"Other.relativ";"Other.motion";"Other.space";"Other.time";"Other.work.1";"Other.achieve";"Other.leisure";"Other.home";"Other.money";"Other.relig";"Other.death";"Other.assent";"Other.nonfl";"Other.filler"
"9";1;10;7;5;7;10;5;2;4;8;6;7;8;7;7;2;1;0;2;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;11;0;1;2;0;1.57894736842105;8.04123711340206;6;2;0;0;0;2;0;0;4;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;4;0;0;0;0;1;0;0;6;0;8;0;0;0;1;0;8;3;0;4;0;0;2;1;1;0;7;0;0;0;3;3;0;3;0;0;4;1;0;0;0;0;1;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;1;0;1;1;1;0;0;0;0;0;7;1;3;1;0;0;2;0;7;0;1;5;0;0;0;1;0;0;9;0;0;0;1;6;0;1;1;0;3;0;0;0
"11";1;10;5;3;7;8;5;1;7;7;8;7;5;7;7;4;1;1;3;3;0;0;1;0;0;0;0;0;0;2;0;9;0;0;0;3;1;0;0;0;1.59229208924949;17.0652173913043;13;11;1;1;1;1;0;1;4;1;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;4;0;1;0;0;0;0;0;3;0;6;1;0;0;1;0;7;0;0;2;0;1;0;0;0;0;4;0;0;0;2;4;0;0;0;0;0;2;0;0;0;0;2;2;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;1;0;0;0;0;1;0;4;0;0;4;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0
"12";1;10;6;3;6;10;10;1;8;8;6;7;9;7;7;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;7;0;1;0;7;4;1;24;5;1.49206349206349;7.77931034482759;2;8;0;2;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;4;0;0;0;1;10;0;0;0;0;0;0;0;0;2;1;2;3;1;0;1;1;0;1;0;1;1;0;0;1;0;0;3;0;0;2;0;0;3;1;2;1;0;2;0;1;4;0;4;2;0;0;0;1;5;2;0;4;0;1;0;0;1;0;7;0;0;0;1;10;0;0;0;0;1;1;0;0
"14";1;10;1;3;8;10;5;4;5;5;5;8;8;8;8;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;4;0;1;3;0;1.59770114942529;8.34;3;2;0;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0;1;2;0;1;2;0;0;0;0;0;0;4;0;0;0;1;7;0;0;0;0;2;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;1;1;0;0;0;0;0;1;2;0;3;0;0;0;0;0;2;1;1;2;0;0;0;1;0;0;4;0;0;0;1;9;0;1;1;0;0;1;0;0
"16";0;8;1;2;7;8;9;2;7;3;8;9;2;9;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;1;2;2.16058394160584;5.80392156862745;0;0;1;1;1;1;0;0;4;1;0;1;0;0;0;0;1;0;0;0;3;0;1;2;0;0;0;0;1;0;0;0;0;0;2;1;1;2;0;0;0;0;9;2;0;2;0;0;0;0;0;0;5;0;0;0;1;8;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;3;0;1;0;0;0;1;0;2;0;0;3;0;0;0;0;0;0;3;0;0;0;1;2;0;0;0;0;0;0;0;0
"17";1;10;1;1;6;10;1;1;6;3;8;8;8;8;8;5;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;12;1;4;0;0;1.56554307116105;26.125;9;4;0;1;1;2;0;2;2;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;1;1;1;0;1;0;1;3;0;2;1;0;0;0;0;8;2;1;4;0;0;0;0;1;0;4;0;0;0;2;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;3;0;0;0;0;1;0;0;1;0;5;0;0;0;0;0;4;2;0;1;0;0;0;0;1;0;2;0;0;0;1;4;0;1;0;0;1;1;0;0
"18";1;10;5;1;7;10;6;1;8;7;7;7;5;6;7;2;1;0;0;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;5;0;0;1;0;1.49717514124294;14.7222222222222;4;3;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;2;0;0;1;0;1;0;1;2;0;4;0;0;0;1;0;1;0;0;3;0;0;0;1;0;0;4;0;0;0;1;7;0;2;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;3;0;0;3;0;2;0;0;0;0;0;2;0;0;3;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0
"19";1;10;1;4;7;10;7;1;7;5;7;5;6;5;8;5;1;0;0;2;0;0;2;0;0;0;0;0;2;1;0;2;0;0;0;8;0;2;8;0;1.92695214105793;6.95454545454545;10;5;0;1;0;1;0;1;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;3;0;1;0;0;0;1;0;7;0;0;2;0;0;0;1;1;0;3;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;3;0;1;3;0;3;0;0;0;0;0;5;0;0;4;0;0;0;0;0;0;3;0;0;0;1;5;0;0;0;0;1;0;0;0
"20";1;10;4;1;6;7;5;3;5;5;9;8;5;7;7;4;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;2;17;0;1.58858267716535;10.6184210526316;5;2;1;1;0;1;1;1;2;1;0;0;0;0;0;0;1;0;0;0;1;0;1;3;0;0;4;0;0;0;0;1;0;1;6;0;5;3;0;0;0;1;5;1;0;2;0;0;0;0;0;0;7;0;0;0;0;11;0;0;0;0;1;0;0;0;0;1;0;2;0;0;2;2;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;4;1;1;0;0;0;0;0;5;1;1;3;0;1;2;0;0;0;6;0;0;0;1;5;0;0;0;0;2;0;0;0
"21";1;10;6;3;6;10;3;5;3;7;9;8;5;5;9;4;0;0;2;2;0;0;1;0;0;0;0;0;0;1;0;4;0;0;0;3;1;2;29;5;1.58199356913183;12.4556962025316;9;5;1;1;1;1;1;0;2;1;0;0;0;0;0;0;1;0;0;0;2;0;1;2;0;0;1;1;1;0;0;2;0;0;6;0;1;2;0;0;0;0;7;1;0;3;0;0;0;0;1;0;8;0;0;0;3;11;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;5;0;0;0;0;2;0;0;0;0;0;2;0;0
